moveScoreRario,winnerScoreRario,points
0.8250071166216948,0.25397696330276953,226
1.1897889039897172,7.11111291987112,-226
0.8734936099341096,0.8141258495364208,237
0.5644547996856534,11.552231914244183,-237
1.056744679221044,1.1664503727791613,214
0.4361670408787832,3.0240417361820637,-214
0.8864386051619194,0.6763311328011772,3
2.8867478539944345,0.7925625014347016,-3
0.7660181661891621,0.9000996403758811,-7
0.7358800415943524,0.24669790056327037,7
0.9952768838131067,0.5142590003868096,0
1.0926568244015726,0.5308882242702735,0
0.42185996895860994,0.9006963329996002,-218
1.5956505283950497,0.17227264132839107,218
0.8672488086468925,0.28195892688700075,-8
1.8824305276873452,0.6143180147108144,8
3.311085079332437,22.434570769363475,-248
0.8270649737282952,0.30850906029067215,248
0.9072687166846842,1.9079893331422373,-233
0.40460183348599016,0.8558030417217742,233
0.7231588961850497,0.36526826727923856,117
2.7737607340460984,0.898339800159275,-117
0.3799773548128638,1.1080966104373902,-222
0.3637928822177998,0.3133955026030038,222
0.8644639466677453,3.686179594739329,-225
1.2154127598995137,0.5080673778046745,225
0.4815495761501254,0.5536043274862801,-111
1.2556898754375325,1.0706178596774745,111
4.832008584454974,0.05072763213157094,-230
0.16799264697397584,0.023003096286839095,230
6.73971465085455,1.091598446232528,-12
0.30745697605195565,1.4091065002476104,12
0.015435280245846023,0.6319314054829037,-124
0.44690263622989723,0.7162774619396975,124
1.346989922265984,1.0108248277462641,216
0.30334028553844256,2.147279497278279,-216
4.750839888508146,0.27828460840113445,-229
2.3414344812340397,0.6245956417115168,229
1.2666813645435653,1.486619071496367,12
3.8286323321383215,1.096357199358091,-12
0.9021202630502093,0.20812162802058967,-91
1.6118814116092532,0.069758461295585,91
1.2752225284478718,0.3615285546711656,117
3.464547680195139,0.2001240265238859,-117
3.007611197680759,2.782055201179919,241
0.260772634810678,10.845407704126698,-241
0.6725099050412444,0.1423873233983602,224
1.5340867249592227,29.248643023870027,-224
1.9074778613675787,1.062677655650774,227
1.1904969114033896,112.7731449776467,-227
0.005387457548932702,4.370244109885337,0
3.37419756745497,0.7796369164085463,0
1.2282991924760744,1.6851408116760114,238
0.10762466937272505,0.8672217116672223,-238
